"person_id","person","institution","issue","rubrica","item","value_brl","detalhamento_pt","detalhamento_en","justificativa_pt","justificativa_en"
"P-0009","Clebson dos Santos Cruz","UFOB","4","Custeio","Despesas acessórias com importação","0","","","",""
"P-0009","Clebson dos Santos Cruz","UFOB","4","Custeio","Diárias (Total)","5250","15 diárias para realização visitas<br>técnicas e científicas entre as<br>instituições parceiras do projeto e<br>participação em eventos científicos da<br>área de atuação do Projeto","15 daily allowances (per diems) for conducting technical and scientific visits between the project's partner institutions and participating in scientific events within the project's field of activity.","preenchimento não requerido","preenchimento não requerido"
"P-0009","Clebson dos Santos Cruz","UFOB","4","Custeio","Material de consumo","10000","- Material de Escritório (lápis,<br>canetas, resmas de papel, pincéis para quadro branco, apagador de quadros, pastas, cadernos, blocos de anotação, bandeja para papéis, envelope, giz, grafite, grampos) <br>- Material de informática (tintas para impressora, pilhas, baterias, peças e acessórios  para computadores e periféricos)","Office Supplies (pencils, pens, reams of paper, whiteboard markers, whiteboard erasers, folders, notebooks, notepads, paper trays, envelopes, chalk, pencil lead, staples) <br>- IT Supplies (printer ink, batteries, rechargeable batteries, parts and accessories for computers and peripherals)","- Despesa com os materiais de<br>papelaria utilizados diariamente<br>no projeto; <br>- Despesas com materiais utilizados no funcionamento de sistemas de<br>processamento de dados;","Expenses with stationery materials used daily in the project; <br>- Expenses with materials used in the operation of data processing systems;"
"P-0009","Clebson dos Santos Cruz","UFOB","4","Custeio","Passagens (Total)","9000","- 3 voos (ida-volta) no valor de R$ 3000. Para os 36 meses<br>- Custeio de<br>passagens para realização visitas<br>técnicas e científicas entre as<br>instituições parceiras do projeto e<br>participação em eventos científicos da<br>área de atuação do Projeto","3 flights (round-trip) valued at R$ 3,000. For the 36 months.<br>Funding for tickets to conduct technical and scientific visits between the project's partner institutions and participate in scientific events within the project's field of activity.","preenchimento não requerido","preenchimento não requerido"
"P-0009","Clebson dos Santos Cruz","UFOB","4","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0009","Clebson dos Santos Cruz","UFOB","4","Capital","Equipamentos e Material permanente","25000","2 Desktops; Processador Intel® Core™ Ultra 7, 20 núcleos; Memória de 32GB DDR5; Valor<br>unitário: R$ 12.500,00","2 Desktops; Intel® Core™ Ultra 7 Processor, 20 cores; 32GB DDR5 Memory; Unit value: R$ 10,000.00","Compra de computadores para a<br>realização de cálculos teóricos<br>avançados, construção de<br>gráficos, elaboração de<br>materiais de divulgação<br>científica do projeto. Monitores<br>para vizualização dos cálculos<br>teóricos, construção de<br>gráficos, elaboração de<br>materiais de divulgação<br>científica do projeto.","Purchase of computers for conducting advanced theoretical calculations, creating graphs, and preparing scientific dissemination materials for the project. Monitors for visualizing theoretical calculations, creating graphs, and preparing scientific dissemination materials for the project."
"P-0009","Clebson dos Santos Cruz","UFOB","4","Capital","Material bibliográfico (Total)","5000","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0006","Vinícius Gomes de Paula","UFF","5","Custeio","Despesas acessórias com importação","0","","","",""
"P-0006","Vinícius Gomes de Paula","UFF","5","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0006","Vinícius Gomes de Paula","UFF","5","Custeio","Material de consumo","0","","","",""
"P-0006","Vinícius Gomes de Paula","UFF","5","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0006","Vinícius Gomes de Paula","UFF","5","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0006","Vinícius Gomes de Paula","UFF","5","Capital","Equipamentos e Material permanente","0","","","",""
"P-0006","Vinícius Gomes de Paula","UFF","5","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Custeio","Despesas acessórias com importação","0","","","",""
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Custeio","Material de consumo","0","","","",""
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Capital","Equipamentos e Material permanente","0","","","",""
"P-0016","Paula Cristina Ferreira da Silva Brandão","Universidade de Aveiro","6","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0015","António F. Moreira dos Santos","ORNL","7","Custeio","Despesas acessórias com importação","0","","","",""
"P-0015","António F. Moreira dos Santos","ORNL","7","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0015","António F. Moreira dos Santos","ORNL","7","Custeio","Material de consumo","0","","","",""
"P-0015","António F. Moreira dos Santos","ORNL","7","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0015","António F. Moreira dos Santos","ORNL","7","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0015","António F. Moreira dos Santos","ORNL","7","Capital","Equipamentos e Material permanente","0","","","",""
"P-0015","António F. Moreira dos Santos","ORNL","7","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0003","Mario de Souza Reis Junior","UFF","8","Custeio","Despesas acessórias com importação","0","","","",""
"P-0003","Mario de Souza Reis Junior","UFF","8","Custeio","Diárias (Total)","8000","","","preenchimento não requerido","preenchimento não requerido"
"P-0003","Mario de Souza Reis Junior","UFF","8","Custeio","Material de consumo","10000","","","",""
"P-0003","Mario de Souza Reis Junior","UFF","8","Custeio","Passagens (Total)","7000","","","preenchimento não requerido","preenchimento não requerido"
"P-0003","Mario de Souza Reis Junior","UFF","8","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0003","Mario de Souza Reis Junior","UFF","8","Capital","Equipamentos e Material permanente","25000","MacBook Pro apple","MacBook Pro apple","Uso nas tarefas de alta performance como programação, cálculos de propriedades termodinâmicas de materiais.",""
"P-0003","Mario de Souza Reis Junior","UFF","8","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Custeio","Despesas acessórias com importação","0","","","",""
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Custeio","Material de consumo","0","","","",""
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Capital","Equipamentos e Material permanente","0","","","",""
"P-0008","Alan Fillipe de Souza Almeida","UERJ","9","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Custeio","Despesas acessórias com importação","0","","","",""
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Custeio","Material de consumo","0","","","",""
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Capital","Equipamentos e Material permanente","0","","","",""
"P-0011","João Vitor Almeida Tavares Cruz","UFOB","10","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0013","Tatiana de Jesus Braga","UFOB","11","Custeio","Despesas acessórias com importação","0","","","",""
"P-0013","Tatiana de Jesus Braga","UFOB","11","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0013","Tatiana de Jesus Braga","UFOB","11","Custeio","Material de consumo","0","","","",""
"P-0013","Tatiana de Jesus Braga","UFOB","11","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0013","Tatiana de Jesus Braga","UFOB","11","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0013","Tatiana de Jesus Braga","UFOB","11","Capital","Equipamentos e Material permanente","0","","","",""
"P-0013","Tatiana de Jesus Braga","UFOB","11","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0014","Wanisson Silva Santana","UFOB","13","Custeio","Despesas acessórias com importação","0","","","",""
"P-0014","Wanisson Silva Santana","UFOB","13","Custeio","Diárias (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0014","Wanisson Silva Santana","UFOB","13","Custeio","Material de consumo","0","","","",""
"P-0014","Wanisson Silva Santana","UFOB","13","Custeio","Passagens (Total)","0","","","preenchimento não requerido","preenchimento não requerido"
"P-0014","Wanisson Silva Santana","UFOB","13","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0014","Wanisson Silva Santana","UFOB","13","Capital","Equipamentos e Material permanente","0","","","",""
"P-0014","Wanisson Silva Santana","UFOB","13","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Custeio","Despesas acessórias com importação","0","","","",""
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Custeio","Diárias (Total)","31700","Diárias nacionais e internacionais para participação em congressos e trabalho de campo.","Daily national and international expenses for conferecences and field trip.","preenchimento não requerido","preenchimento não requerido"
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Custeio","Material de consumo","17283.4","Peça de reposição para computadores (SSD, memória RAM, placa de vídeo...).","Replacement parts for computers (SSD, RAM, video card...).","Upgrade de infraestrutura computacional, manutenção de equipamentos","Computer infrastructure upgrade, equipment maintenance"
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Custeio","Passagens (Total)","21000","Participação em congressos, visitas técnicas e trabalho de campo","Participation in conferences, technical visits and fieldwork.","preenchimento não requerido","preenchimento não requerido"
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Custeio","Serviços de Terceiros (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Capital","Equipamentos e Material permanente","30016.6","Mac mini com chip M4, CPU de 10 núcleos, GPU de 10 núcleos e Neural Engine de 16 núcleos, Memória unificada de 24 GB, SSD de 1 TB, Gigabit Ethernet; Ultrassom com aquecimento Bomba de vacuo + kit de separação Placa de aquecimento<br>Mini centrifuga","Mac mini with M4 chip, 10-core CPU, 10-core GPU and 16-core Neural Engine, 24 GB unified memory, 1 TB SSD, Gigabit Ethernet; Ultrasound with heating, Vacuum pump + separation kit, Heating plate<br>Mini centrifuge","Upgrade de infraestrutura computacional para pesquisa, simulações computacionais e análise de dados; Melhoria da infraestrutura de pesquisa experimental","Upgrade of computational infrastructure for research, computational simulations and data analysis; Improvement of experimental research infrastructure."
"P-0004","Paula de Oliveira Ribeiro Alho","UERJ","14","Capital","Material bibliográfico (Total)","0","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido","preenchimento não requerido"
